subjectNumber,resultId,frameId,frameName,note,content,colorNumber,conditionNumber,color,distractorCount,featureContrast,condition,responseTime,errors,log_RT,mean_logRT,sd_logRT,filtered_logRT,filtered_mean_logRT,filtered_sd_logRT,filtered_zLogRT,totalSubjectErrors
1,6282c32db4f41367229c40fa,fb650382581f4a55,visualsearch,12_4,12_4.png,12,4,green,5,no contrast,"5, no contrast",3815,0,3.581494542,3.540386604,0.2499289971,3.581494542,3.516025819,0.2087310783,0.3136510545,6
1,6282c32db4f41367229c40fa,5a3677e6a52e8143,visualsearch,12_3,12_3.png,12,3,green,5,contrast,"5, contrast",5317,0,3.72566666,3.540386604,0.2499289971,3.72566666,3.516025819,0.2087310783,1.004358539,6
1,6282c32db4f41367229c40fa,c3b22382a8101b42,visualsearch,10_3,10_3.png,10,3,blue,5,contrast,"5, contrast",2865,0,3.457124626,3.540386604,0.2499289971,3.457124626,3.516025819,0.2087310783,-0.2821869826,6
1,6282c32db4f41367229c40fa,af3dac13a4b36f79,visualsearch,16_3,16_3.png,16,3,magenta,5,contrast,"5, contrast",3520,0,3.546542663,3.540386604,0.2499289971,3.546542663,3.516025819,0.2087310783,0.1462017264,6
1,6282c32db4f41367229c40fa,9af2ae0fe39f971f,visualsearch,11_4,11_4.png,11,4,green,5,no contrast,"5, no contrast",4264,0,3.629817196,3.540386604,0.2499289971,3.629817196,3.516025819,0.2087310783,0.5451578052,6
1,6282c32db4f41367229c40fa,07ab03b5b571936e,visualsearch,14_5,14_5.png,14,5,red,10,contrast,"10, contrast",2888,0,3.460597189,3.540386604,0.2499289971,3.460597189,3.516025819,0.2087310783,-0.2655504442,6
1,6282c32db4f41367229c40fa,9519836342c3393d,visualsearch,16_6,16_6.png,16,6,magenta,10,no contrast,"10, no contrast",4999,0,3.698883137,3.540386604,0.2499289971,3.698883137,3.516025819,0.2087310783,0.8760426034,6
1,6282c32db4f41367229c40fa,78e8a739c3f19d73,visualsearch,9_6,9_6.png,9,6,blue,10,no contrast,"10, no contrast",5614,0,3.749272408,3.540386604,0.2499289971,3.749272408,3.516025819,0.2087310783,1.117450217,6
1,6282c32db4f41367229c40fa,035098a5060c42b0,visualsearch,10_6,10_6.png,10,6,blue,10,no contrast,"10, no contrast",6265,0,3.796921075,3.540386604,0.2499289971,3.796921075,3.516025819,0.2087310783,1.345727996,6
1,6282c32db4f41367229c40fa,dd7cffc1f08ce161,visualsearch,10_5,10_5.png,10,5,blue,10,contrast,"10, contrast",6903,0,3.839037873,3.540386604,0.2499289971,3.839037873,3.516025819,0.2087310783,1.547503402,6
